date,horizon_day,arima_log_return,lstm_log_return,selected_model,selected_log_return,cumulative_selected_return
2025-01-01,1,-0.000133,0.000745,"ARIMA(1, 0, 3)",-0.000133,-0.000133
2025-01-02,2,0.000207,0.000805,"ARIMA(1, 0, 3)",0.000207,7.4e-05
2025-01-03,3,0.000124,0.000852,"ARIMA(1, 0, 3)",0.000124,0.000198
2025-01-06,4,0.000155,0.000866,"ARIMA(1, 0, 3)",0.000155,0.000353
2025-01-07,5,0.000142,0.000833,"ARIMA(1, 0, 3)",0.000142,0.000495
2025-01-08,6,0.000147,0.000817,"ARIMA(1, 0, 3)",0.000147,0.000642
2025-01-09,7,0.000145,0.000798,"ARIMA(1, 0, 3)",0.000145,0.000787
2025-01-10,8,0.000146,0.000681,"ARIMA(1, 0, 3)",0.000146,0.000933
2025-01-13,9,0.000146,0.000715,"ARIMA(1, 0, 3)",0.000146,0.001079
2025-01-14,10,0.000146,0.000733,"ARIMA(1, 0, 3)",0.000146,0.001225
2025-01-15,11,0.000146,0.000732,"ARIMA(1, 0, 3)",0.000146,0.001371
2025-01-16,12,0.000146,0.000732,"ARIMA(1, 0, 3)",0.000146,0.001517
2025-01-17,13,0.000146,0.000732,"ARIMA(1, 0, 3)",0.000146,0.001663
2025-01-20,14,0.000146,0.000731,"ARIMA(1, 0, 3)",0.000146,0.001809
2025-01-21,15,0.000146,0.000731,"ARIMA(1, 0, 3)",0.000146,0.001955
2025-01-22,16,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.002101
2025-01-23,17,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.002247
2025-01-24,18,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.002393
2025-01-27,19,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.002539
2025-01-28,20,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.002685
2025-01-29,21,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.002831
2025-01-30,22,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.002977
2025-01-31,23,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.003123
2025-02-03,24,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.003269
2025-02-04,25,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.003415
2025-02-05,26,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.003561
2025-02-06,27,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.003707
2025-02-07,28,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.003853
2025-02-10,29,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.003999
2025-02-11,30,0.000146,0.00073,"ARIMA(1, 0, 3)",0.000146,0.004145
